"source_genesymbol","target_genesymbol","interact"
"TRDN","RYR1",0
"FKBP4","MAPT",0
"FKBP4","NR3C1",0
"FKBP4","HSP90AA1",0
"IRF4","FKBP4",0
"GLMN","FKBP4",0
"FKBP4","ATOX1",0
"CD2AP","CBL",0
"CD2AP","SH3KBP1",0
"EFHC1","CACNA1E",0
"ACTB","TGM2",0
"SQSTM1","TGM2",0
"TGM2","ALDOA",0
"ARNT","TGM2",0
"TGM2","FN1",0
"TGM2","NME1",0
"PINK1","TGM2",0
"HTT","TGM2",0
"CBL","TGM2",0
"VHL","TGM2",0
"PSMD4","TGM2",0
"LTBP1","TGM2",0
"TGM2","SPARC",0
"S100A7","TGM2",0
"AKAP13","TGM2",0
"EIF5A","TGM2",0
"TMSB4X","TGM2",0
"OS9","SERPINA1",0
"SLC12A1","OS9",0
"DCSTAMP","OS9",0
"SEL1L","OS9",0
"MEP1B","OS9",0
"OS9","CPNE6",0
"TRPV2","TRPV1",0
"KCND2","NCS1",0
"PI4KB","NCS1",0
"IL1RAPL1","NCS1",0
"STUB1","AQP2",0
"TRAF6","RAC1",0
"PIAS3","RAC1",0
"RAC1","NOS2",0
"XIAP","RAC1",0
"RAC1","NEDD4",0
"SET","RAC1",0
"RAC1","SYNJ2",0
"RAC1","MSN",0
"TUBA4A","RAC1",0
"RAC1","SOD1",0
"TNFRSF12A","RAC1",0
"RAC1","ITGB1BP1",0
"SH3BP1","RAC1",0
"RAC1","ICMT",0
"ARHGDIG","RAC1",0
"RCC2","RAC1",0
"TNFAIP8L2","RAC1",0
"S100A10","ANXA2",0
"S100A10","KCNK3",0
"S100A10","PLG",0
"S100A10","ANXA7",0
"TRPV3","TRPV1",0
"DPYSL2","PLD2",0
"MICALL1","DPYSL2",0
"CYLD","SQSTM1",0
"CYLD","AKT1",0
"CYLD","PLK1",0
"CYLD","MAPRE1",0
"CYLD","TUBA1A",0
"CYLD","MIB2",0
"CYLD","TRAIP",0
"SYT4","TFAP2B",0
"TNIP1","OPRM1",0
"RANBP9","OPRM1",0
"WLS","OPRM1",0
"DNAJB4","OPRM1",0
"OPRM1","PPL",0
"HOMER1","PRKN",0
"HOMER1","STX12",0
"CNR1","HCRTR1",0
"ADORA2A","CNR1",0
"BSPRY","YWHAZ",0
"BSPRY","ZYX",0
"RELA","IER3",0
"LRR1","TNFRSF9",0
"RB1","NDC80",0
"DSN1","NDC80",0
"NUF2","NDC80",0
"CENPH","NDC80",0
"BCAS2","NDC80",0
"FASLG","EZR",0
"FASLG","FN1",0
"FASLG","PSTPIP1",0
"FASLG","MMP7",0
"ATF3","TP73",0
